movie_id,rating
53773,NR
412037,
276646,
44604,
550080,
64148,G
373522,
34772,NR
404663,NR
411060,
1298095,
1062937,
156507,
73713,
859058,
828883,
599654,
409379,
679879,NR
247415,
48819,
216651,
73712,
483322,
402023,
37326,R
444483,
99643,
416979,
413365,
480294,
360192,
306292,
88856,
536108,
723252,
259907,
64503,
62454,
145973,
467169,NR
39952,
245928,
76731,
106335,
203102,
106109,
573554,
68508,NR
49245,
404532,
103782,NR
67625,NR
476934,
110812,
121139,
150342,
1452267,
1038886,G
1064869,
90110,NC-17
255518,
218362,
159304,
120856,
115104,
73715,
148923,
551228,
251432,
398613,
61726,
449245,
495197,
405049,
60637,
166706,
208488,
71251,PG-13
106201,
96926,
142356,
134830,
725064,
673423,NR
34775,
649523,
400147,
66032,
404616,
150220,
44310,
342708,
40576,
68828,PG-13
335084,
69840,
507455,NR
1226221,
1407700,
637016,NR
248904,
999588,
385920,
394829,
134831,NR
52242,
662780,
60706,
374785,
265718,
175772,
547031,
166696,
166690,
155529,
155661,
34466,
62371,
582825,
169482,
148301,
43477,G
73797,
226235,
85794,
52466,
400139,
166697,
176408,
66880,
655731,
513106,NR
73722,
1421025,
1361054,
161863,
235407,
411063,
63234,
134879,
168861,
211000,NR
410584,
409385,
89617,
167947,
411217,
131589,
358723,
324621,
90826,
656271,
326025,
87209,NR
67164,NR
174822,
336041,
36839,
28557,
71595,
23503,PG-13
467859,NC-17
166715,
530693,
1404020,
961020,NR
78694,G
810752,
334725,
784988,
101380,
635681,
334227,
166688,
73708,
37319,G
391690,
73461,
64593,NR
334393,
416445,
345886,
209690,
64663,NR
64658,
64704,
285857,
1280400,
1209058,PG
1199260,
1103711,
933166,G
340898,
236244,
215657,
162683,
258725,
626218,
174405,NR
73710,
272363,
417179,
687166,
166787,
403346,
182217,
363013,
55431,PG-13
309194,NR
272698,NR
421594,
465610,
307697,
360913,
254151,
553614,
486174,
734930,
425304,NR
291309,G
33868,
62429,
108183,
404508,
208260,
91675,
122946,
265838,
367256,
641609,
870359,PG
367548,
205191,
64659,NR
212648,
504276,
297221,
351512,
381194,
73684,NR
200627,
337848,
23504,PG
64595,
64698,NR
410154,NR
938608,G
279598,
135305,
64707,NR
210828,
56664,
424931,
1300447,NR
1126314,
403039,
974069,
469912,
365294,
70032,
88799,NR
60933,NR
920022,
519040,
483459,
534515,
324247,NR
360615,
1520936,NR
74038,
911361,
757767,
701932,
1399540,
410600,
35755,
689918,
18881,
441288,
1616600,
1619651,
1614688,NR
1610538,
840875,
359878,
413272,
1566471,
219031,
1551201,
1547811,
1542261,
1526874,
1522362,
1519809,
457303,
1510627,
1068215,
1507419,
1498730,
170807,
1492347,
1469405,
1467486,
1465063,
1461201,
1459248,
958900,
1457550,
1448917,
1320669,
1441453,
1438229,
1420616,
1030712,
1410345,
1405206,
1404214,
1403836,
1396445,
1382601,
1374121,
1372277,
1372276,
1372274,
1372270,
1372267,
1372264,
1365872,
1360600,
417784,
1358411,NR
1353292,
1352836,
1346722,
1341617,
369489,
1322562,
1321953,
1313216,
1312292,
1302296,
1302291,
1302238,
1300685,
1300683,
1300543,
1294004,
1293133,
1293125,
532716,
1279246,
1275369,
1274261,
935326,
1266540,
1266528,
1263013,
1095633,
1095630,
412382,
680216,
1240299,
1200444,
1231583,
1228764,
1228769,
1228762,
1228748,
1228758,
1228753,
326287,
1225370,
1222233,
1218203,
1215143,
1215142,
1148706,
1192013,
1188872,
1185776,G
1183415,
1178790,
1174063,
624374,
473197,
434359,
1154800,
1154621,
497164,
1151861,
498280,
1143842,
1142556,
1142554,
1141165,
522278,
502419,
1059341,
400788,
1129779,
1129729,
1129229,
1126002,
1124020,
496183,NR
590757,
1115310,
1115297,
1115286,
300837,
1111897,
1106568,
1102968,
1102431,
316286,
314208,
1090213,
1088937,
386453,
148527,
1087784,
1088006,
1083837,
1074897,
202052,
1066977,
1062071,
374493,
1057218,NR
1057440,
136242,
1048492,
1048002,
552545,
1030422,
1030420,
629188,
522511,
1025437,
1023603,
1022794,
1021765,
1020647,NC-17
1021315,
1020760,
645987,
646206,
1009097,
1008431,
1000606,
996815,
996830,
404389,
993262,
205330,
990558,
608842,
342540,
986715,
985716,
982391,
978622,
598104,
975974,
969054,
968454,
968412,
412821,
965164,NR
959960,
957012,
557444,
950863,
354554,
45721,
943583,
943511,
943766,
456332,
941804,
941666,
941506,
531377,
319781,
48503,
352067,
523310,
414432,
538538,
939765,
423918,
935476,
531554,
931341,
326497,
928691,
929017,
928685,
927665,
573742,
922936,
443096,
911700,
651194,
904267,
316616,
484115,
426849,NR
439569,
352068,
64009,
893243,
890167,
890179,
890571,
890188,
889730,NR
886308,
883482,
883095,
882047,
522861,
880998,
454079,
705951,
431006,
359180,
870729,
871165,
458537,
352071,
865847,
647538,
860104,
860229,PG
859183,
858805,
82147,
857515,
441886,
854788,
522332,
847815,
847406,
845494,
845445,
466569,
286510,
424074,
836598,
673325,
836600,
836311,
306290,
369491,
434365,
831750,
602927,
118411,
462584,
