genre,movie_id
 Comedy,13690
 Family,13690
Animation,10555
 Action,10555
 Comedy,10555
 Family,10555
Animation,153518
 Adventure,153518
 Comedy,153518
 Family,153518
Animation,394759
 Fantasy,394759
 Romance,394759
 Comedy,394759
 Family,394759
Animation,1089654
 History,1089654
Family,1084153
 Comedy,1084153
 Adventure,1084153
 Animation,1084153
Action,1047091
 Science Fiction,1047091
 Animation,1047091
Animation,927254
 Comedy,927254
 Family,927254
 Fantasy,927254
Animation,88096
 Comedy,88096
 Family,88096
Adventure,15213
 Animation,15213
 Comedy,15213
 Family,15213
Music,58508
 Comedy,58508
 Animation,58508
 Family,58508
 Fantasy,58508
Animation,79218
 Family,79218
 TV Movie,79218
Comedy,400157
 Animation,400157
 Adventure,400157
 Family,400157
 Fantasy,400157
Animation,366656
 Family,366656
 Comedy,366656
Animation,452773
 Adventure,452773
 Comedy,452773
 Family,452773
Family,261103
 Animation,261103
Animation,9907
 Comedy,9907
 Family,9907
