movie_index,production_company,movie_id
212,Sony Music Entertainment (Japan),508422
212,Fuji Television Network,508422
213,Kyoto Animation,610892
213,Pony Canyon,610892
213,ABC Animation,610892
213,Bandai Namco Arts,610892
214,Walt Disney Productions,12092
215,Walt Disney Productions,10693
216,Lupus Films,413770
216,Cloth Cat,413770
216,BFI,413770
216,BBC,413770
216,Melusine Productions,413770
216,The Little Film Company,413770
217,Warner Bros. Animation,17074
218,Warner Bros. Animation,45752
219,GAINAX,21832
219,Production I.G,21832
219,Tatsunoko Production,21832
219,KADOKAWA Shoten,21832
219,TV Tokyo,21832
219,SEGA,21832
219,Toei Company,21832
220,Toei Company,39108
220,Bird Studios,39108
220,Toei Animation,39108
221,Square Enix,14003
221,TBS,14003
221,Aniplex,14003
221,Nippan Group Holdings,14003
221,MBS,14003
221,SKY Perfect Broadcasting,14003
221,BONES,14003
221,Shochiku,14003
221,dentsu,14003
222,DC,15359
222,Warner Bros. Animation,15359
222,Warner Premiere,15359
223,khara,15137
224,Bandai Namco Games,126963
224,Toei Animation,126963
224,Fuji Television Network,126963
224,Shueisha,126963
224,Toei Company,126963
224,Fox International Productions Japan,126963
224,Bandai,126963
225,Pony Canyon,1295026
225,Asmik Ace,1295026
225,TBS,1295026
225,Rock'n Roll Mountain,1295026
225,GKIDS,1295026
226,ufotable,1067282
226,Aniplex,1067282
226,TOHO,1067282
227,ufotable,895006
228,ufotable,820232
229,Yoshimoto Kogyo,781816
229,STUDIO4℃,781816
230,Warner Bros. Pictures,53210
230,Warner Bros. Cartoons,53210
231,Warner Bros. Animation,15805
232,GAINAX,20043
233,Studio Colorido,667520
233,Fuji Television Network,667520
233,Twin Engine,667520
233,Fuji Creative Corporation,667520
233,TOHO,667520
233,KDDI,667520
233,KADOKAWA,667520
233,BS Fuji,667520
233,Dentsu Meitetsu Communications,667520
234,Cartoon Saloon,560052
234,Mockingbird Pictures,560052
234,Parallel Films,560052
234,Fís Éireann/Screen Ireland,560052
235,STUDIO PONOC,430447
236,Studio Chizu,475215
236,D.N. Dream Partners,475215
236,NTT Docomo,475215
236,Nippon Television Network Corporation,475215
236,KADOKAWA,475215
237,Bill Plympton Studios,228692
238,TOHO,28808
238,Kyokuichi-Tokyo Movie,28808
239,Nippon Herald Films,64847
239,Mushi Production,64847
240,Group TAC,12613
240,Capcom,12613
240,Sedic,12613
241,TOHO,15575
241,Pierrot,15575
242,TBS,100271
242,KADOKAWA,100271
242,Production I.G,100271
242,KADOKAWA Shoten,100271
242,Bandai Visual,100271
242,CBC,100271
242,Chugoku Broadcasting,100271
242,Horipro,100271
242,MBS,100271
242,OLM,100271
242,Tokyu Recreation,100271
242,Yahoo! Japan,100271
242,jeki,100271
243,The Kushner-Locke Company,19933
243,Hyperion Pictures,19933
244,Beyond C.,113082
244,Graphinica,113082
244,STUDIO4℃,113082
244,Warner Bros. Japan,113082
245,Warner Premiere,103269
245,Warner Bros. Animation,103269
245,DC,103269
246,Bandai Visual,12140
246,Production I.G,12140
246,dentsu,12140
246,ITNDDTD,12140
246,Kodansha,12140
246,Studio Ghibli,12140
247,Silver Screen Partners II,9994
247,Walt Disney Pictures,9994
248,ufotable,895003
249,STUDIO RIKKA,234284
249,Directions,234284
250,Warner Bros. Animation,323027
250,DC,323027
251,Warner Bros. Pictures,53211
251,Warner Bros. Cartoons,53211
252,Belvision,9929
252,Dargaud Films,9929
253,Universal Pictures,12144
253,Amblin Entertainment,12144
253,Don Bluth Entertainment,12144
253,Don Bluth Ireland,12144
253,Lucasfilm Ltd.,12144
253,U-Drive Productions,12144
254,GKIDS,453191
254,StudioCanal,453191
254,Folivari,453191
254,Panique!,453191
254,Télétoon+,453191
254,Canal+,453191
254,BeTV,453191
254,OUFtivi,453191
254,VOO,453191
254,RTS,453191
254,CNC,453191
