,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
114,315465,115,0,The Boy and the Beast,released,jp,tt4272866,119.0,5845.0,ja,movie,2015-07-11,2015.0,ja,tt4272866,315465,5845.0,2j0
115,51739,116,0,The Secret World of Arrietty,released,jp,tt1568921,94.0,1270.0,ja,movie,2010-07-16,2010.0,ja,tt1568921,51739,1270.0,1k8
116,11544,117,0,Lilo & Stitch,Released,us,tt0275847,85.0,864.0,en,movie,2002-06-21,2002.0,en,tt0275847,11544,864.0,rk
117,1165642,118,0,Lost in Starlight,released,kr,tt28664733,96.0,349103.0,ko,movie,2025-05-30,2025.0,ko,tt28664733,1165642,349103.0,35gvh
118,804370,119,0,Arco,Released,fr,tt14883538,89.0,369086.0,fr,movie,2025-10-22,2025.0,fr,tt14883538,804370,369086.0,2n8mt
119,802401,120,0,Demon Slayer: Kimetsu no Yaiba Mt. Natagumo Arc,Released,jp,tt14888874,138.0,374512.0,ja,movie,2021-11-17,2021.0,ja,tt14888874,802401,374512.0,2mx0f
120,776305,121,0,Belle,released,jp,tt13651628,121.0,158683.0,ja,movie,2021-07-16,2021.0,ja,tt13651628,776305,158683.0,1jfvr
121,14069,122,0,The Girl Who Leapt Through Time,Released,jp,tt0808506,98.0,1384.0,ja,movie,2006-07-15,2006.0,ja,tt0808506,14069,1384.0,dbr9
122,71883,123,0,Redline,released,jp,tt1483797,102.0,10090.0,ja,movie,2009-08-14,2009.0,ja,tt1483797,71883,10090.0,bme7
123,53565,124,0,Steamboat Willie,Released,us,tt0019422,8.0,,en,movie,1928-05-15,1928.0,xx,tt0019422,53565,,23t8
124,503314,125,0,Dragon Ball Super: Broly,released,jp,tt7961060,101.0,87.0,ja,movie,2018-12-14,2018.0,ja,tt7961060,503314,87.0,1auk
125,475946,126,0,Blade Runner: Black Out 2022,Released,us,tt7428594,16.0,5012.0,en,movie,2017-09-26,2017.0,en,tt7428594,475946,5012.0,17hd
126,396899,127,0,The Girl Without Hands,released,fr,tt5698496,76.0,27735.0,fr,movie,2016-12-14,2016.0,fr,tt5698496,396899,27735.0,l0t
127,330081,128,0,Attack on Titan: Wings of Freedom,released,jp,tt3646946,120.0,7398.0,ja,movie,2015-06-27,2015.0,ja,tt3646946,330081,7398.0,9tf
128,120811,129,0,K-ON! The Movie,Released,jp,tt1909796,110.0,35397.0,ja,movie,2011-12-03,2011.0,ja,tt1909796,120811,35397.0,7uv
129,223706,130,0,Boy & the World,Released,br,tt3183630,80.0,13389.0,pt,movie,2014-01-17,2014.0,pt,tt3183630,223706,13389.0,5tz
130,9606,131,0,Metropolis,Released,jp,tt0293416,107.0,,ja,movie,2001-05-26,2001.0,ja,tt0293416,9606,,4z4
